Name,CoreFreq,UncoreFreq
2mm,900000,4600000
3mm,900000,800000
adi,5000000,800000
atax,5000000,800000
bicg,5000000,4600000
cholesky,900000,4600000
correlation,900000,4600000
covariance,5000000,800000
deriche,5000000,4600000
doitgen,5000000,800000
durbin,5000000,800000
fdtd-2d,900000,4600000
floyd-warshall,5000000,800000
gemm,5000000,800000
gemver,5000000,4600000
gesummv,900000,4600000
gramschmidt,5000000,800000
heat-3d,5000000,800000
jacobi-1d,5000000,800000
jacobi-2d,900000,4600000
lu,900000,4600000
ludcmp,900000,4600000
mvt,900000,4600000
nussinov,5000000,800000
seidel-2d,5000000,800000
symm,900000,4600000
syr2k,5000000,800000
syrk,900000,4600000
trisolv,900000,4600000
trmm,900000,4600000
