Feature               HWThread 0	HWThread 1	HWThread 2	HWThread 3	HWThread 4	HWThread 5	
HW_PREFETCHER         off	off	off	off	off	off	
CL_PREFETCHER         off	off	off	off	off	off	
DCU_PREFETCHER        off	off	off	off	off	off	
IP_PREFETCHER         off	off	off	off	off	off	
FAST_STRINGS          on	on	on	on	on	on	
THERMAL_CONTROL       on	on	on	on	on	on	
PERF_MON              on	on	on	on	on	on	
FERR_MULTIPLEX        off	off	off	off	off	off	
BRANCH_TRACE_STORAGE  on	on	on	on	on	on	
XTPR_MESSAGE          off	off	off	off	off	off	
PEBS                  on	on	on	on	on	on	
SPEEDSTEP             on	on	on	on	on	on	
MONITOR               on	on	on	on	on	on	
SPEEDSTEP_LOCK        off	off	off	off	off	off	
CPUID_MAX_VAL         off	off	off	off	off	off	
XD_BIT                on	on	on	on	on	on	
DYN_ACCEL             off	off	off	off	off	off	
TURBO_MODE            off	off	off	off	off	off	
TM2                   off	off	off	off	off	off	
